Note: Times are in microseconds (us)
BlockSize,HybridInsertAvg,HybridInsertStdDev,HybridFindAvg,HybridFindStdDev
1,197052,2310,68258,493
2,195988,294,65813,259
4,193197,482,62847,264
8,193173,312,62669,222
16,195076,1408,63391,230
32,196130,322,65234,209
64,195351,464,64793,176
128,197902,426,65359,155
256,196286,357,65509,188
512,193613,327,63449,181
1024,195473,410,64966,162
