# Note BatchSize=16384, KeySize=15
WordSize,HybridInsertAvg,HybridInsertStdDev,HybridFindAvg,HybridFindStdDev,CPUInsertAvg,CPUInsertStdDev,CPUFindAvg,CPUFindStdDev
16,196729,1181,4841,341,108718,1071,13205,246
48,200537,1226,16501,619,127595,1014,14760,215
112,209391,1414,73650,3783,113910,1065,18616,291
240,399836,551,270528,3999,136251,2305,26010,827
496,823611,1320,595927,6719,248710,3806,36883,1192
