# Note BatchSize=16384, WordSize=16, Threads=100
KeySize,HybridInsertAvg,HybridInsertStdDev,HybridFindAvg,HybridFindStdDev,CPUInsertAvg,CPUInsertStdDev,CPUFindAvg,CPUFindStdDev
15,197361,1603,4777,167,109853,1197,13199,170
47,251069,1770,14327,614,178285,1541,24538,678
111,334589,2066,44065,1740,248336,1445,31760,1047
239,499407,2706,127373,4694,414987,2302,54142,1289
495,831142,1156,295006,9722,706819,4169,82737,1155
