Note: Times are in microseconds (us)
BatchSize,HybridInsertAvg,HybridInsertStdDev,HybridFindAvg,HybridFindStdDev
16,368575,3379,661131,6608
32,294889,3287,347642,3807
64,250585,1713,177831,2466
128,228862,1614,92751,1786
256,210368,2871,52398,1805
512,210368,2871,32688,2710
1024,205976,1569,22900,2633
2048,201369,1983,16166,1394
4096,197945,1844,6596,631
8192,195709,1263,5424,169
16384,195571,1304,4750,163
32768,195041,1450,5091,99
