Note: Times are in microseconds (us)
BatchSize,HybridInsertAvg,HybridInsertStdDev,HybridFindAvg,HybridFindStdDev
32768,266111,1331,10247,251
16384,265685,1822,9579,117
8192,264996,1457,9948,192
4096,268395,1574,13392,233
2048,270055,1577,20227,368
1024,268995,24249,35199,831
512,267116,1437,54915,2486
256,274035,2425,99318,1785
128,290650,2082,173205,1580
64,313288,1812,309519,1832
32,550223,5220,560952,3162
16,1067038,6515,976635,4138
